date,standard_index_nonparametric
1995-03-01,1.7359295623861226
1995-04-01,0.7070911613346768
1995-05-01,1.7359295623861226
1995-06-01,1.335388348483105
1995-07-01,1.7359295623861226
1995-08-01,2.1318229642538755
1995-09-01,0.5551774750528373
1995-10-01,-1.1968673980543945
1995-11-01,-1.7359295623861235
1995-12-01,-0.2829853316980733
1996-01-01,0.09313250990276134
1996-02-01,1.0781253499132781
1996-03-01,0.4151839393018655
1996-04-01,0.4151839393018655
1996-05-01,0.28298533169807283
1996-06-01,0.8774577368523057
1996-07-01,1.0781253499132781
1996-08-01,-0.555177475052838
1996-09-01,-0.8774577368523062
1996-10-01,0.15567612160303024
1996-11-01,0.7070911613346768
1996-12-01,1.7359295623861226
1997-01-01,2.1318229642538755
1997-02-01,1.1968673980543945
1997-03-01,-0.2829853316980733
1997-04-01,-1.7359295623861235
1997-05-01,-1.7359295623861235
1997-06-01,-1.0781253499132786
1997-07-01,-0.48398663359034066
1997-08-01,1.1968673980543945
1997-09-01,0.6293134513131327
1997-10-01,0.3483119443984253
1997-11-01,0.6293134513131327
1997-12-01,0.48398663359034
1998-01-01,1.5056617805489365
1998-02-01,2.1318229642538755
1998-03-01,2.1318229642538755
1998-04-01,2.1318229642538755
1998-05-01,2.1318229642538755
1998-06-01,2.1318229642538755
1998-07-01,2.1318229642538755
1998-08-01,1.335388348483105
1998-09-01,0.15567612160303024
1998-10-01,0.4151839393018655
1998-11-01,0.4151839393018655
1998-12-01,0.030992626726089822
1999-01-01,0.030992626726089822
1999-02-01,0.48398663359034
1999-03-01,0.15567612160303024
1999-04-01,0.3483119443984253
1999-05-01,-0.21887147111503547
1999-06-01,0.030992626726089822
1999-07-01,0.5551774750528373
1999-08-01,1.335388348483105
1999-09-01,1.7359295623861226
1999-10-01,-0.093132509902762
1999-11-01,-1.0781253499132786
1999-12-01,-1.505661780548937
2000-01-01,-0.34831194439842594
2000-02-01,0.8774577368523057
2000-03-01,0.9728954336959409
2000-04-01,0.9728954336959409
2000-05-01,0.09313250990276134
2000-06-01,0.09313250990276134
2000-07-01,0.7894077433740975
2000-08-01,0.28298533169807283
2000-09-01,1.335388348483105
2000-10-01,2.1318229642538755
2000-11-01,1.7359295623861226
2000-12-01,0.7070911613346768
2001-01-01,-0.7070911613346773
2001-02-01,-0.7894077433740978
2001-03-01,-0.4151839393018659
2001-04-01,0.030992626726089822
2001-05-01,-0.093132509902762
2001-06-01,-0.15567612160303113
2001-07-01,-1.3353883484831062
2001-08-01,-0.7070911613346773
2001-09-01,0.030992626726089822
2001-10-01,-0.4151839393018659
2001-11-01,0.21887147111503524
2001-12-01,0.6293134513131327
2002-01-01,0.3483119443984253
2002-02-01,-0.093132509902762
2002-03-01,-0.6293134513131331
2002-04-01,-0.7070911613346773
2002-05-01,-0.555177475052838
2002-06-01,-0.6293134513131331
2002-07-01,-0.6293134513131331
2002-08-01,-0.8774577368523062
2002-09-01,-0.9728954336959409
2002-10-01,-0.8774577368523062
2002-11-01,-0.21887147111503547
2002-12-01,0.4151839393018655
2003-01-01,-0.21887147111503547
2003-02-01,-0.48398663359034066
2003-03-01,-1.1968673980543945
2003-04-01,-0.093132509902762
2003-05-01,0.4151839393018655
2003-06-01,1.1968673980543945
2003-07-01,-0.4151839393018659
2003-08-01,-0.6293134513131331
2003-09-01,-0.7894077433740978
2003-10-01,-1.0781253499132786
2003-11-01,-1.1968673980543945
2003-12-01,-0.093132509902762
2004-01-01,-0.093132509902762
2004-02-01,0.21887147111503524
2004-03-01,-0.48398663359034066
2004-04-01,-0.9728954336959409
2004-05-01,-1.505661780548937
2004-06-01,-1.1968673980543945
2004-07-01,-0.15567612160303113
2004-08-01,0.5551774750528373
2004-09-01,1.1968673980543945
2004-10-01,1.335388348483105
2004-11-01,0.7070911613346768
2004-12-01,0.7894077433740975
