date,standard_index_gamma
1993-03-01,0.6515678379823849
1993-04-01,0.11438569294801271
1993-05-01,-0.2098467469787697
1993-06-01,1.1423866171907429
1993-07-01,1.9779204597613436
1993-08-01,0.5240018703826799
1993-09-01,-0.1675553012840909
1993-10-01,-0.8767195396187941
1993-11-01,-0.2695226538090376
1993-12-01,-0.3291397093058459
1994-01-01,-0.7541161670143414
1994-02-01,-0.2665200984653693
1994-03-01,-0.6640800941355242
1994-04-01,-0.48928862275680296
1994-05-01,0.5076988329899534
1994-06-01,0.42634020642396964
1994-07-01,0.06768808213024458
1994-08-01,0.5240018703826799
1994-09-01,0.6742889474036867
1994-10-01,0.12033720213386001
1994-11-01,0.381951811240558
1994-12-01,-0.2232454029883424
1995-01-01,1.1382099315965735
1995-02-01,0.9192176122663875
1995-03-01,0.8446019672598045
1995-04-01,1.2228657474794602
1995-05-01,0.598171017312966
1995-06-01,1.5700298156691712
1995-07-01,1.7472601777489465
1995-08-01,0.5240018703826799
1995-09-01,-0.1675553012840909
1995-10-01,-1.110828095252784
1995-11-01,-2.7421251378683538
1995-12-01,0.29252107923818005
1996-01-01,0.7654786460249153
1996-02-01,0.7825334220299406
1996-03-01,0.49984848260606496
1996-04-01,-0.04735452125536321
1996-05-01,0.9768779696831743
1996-06-01,1.5297964122119554
1996-07-01,0.7684213822548306
1996-08-01,0.5240018703826799
1996-09-01,-0.1675553012840909
1996-10-01,0.3481341802279805
1996-11-01,1.1925938718198257
1996-12-01,1.9885049483714643
1997-01-01,1.7257366255095827
1997-02-01,0.37635663157231436
1997-03-01,-3.104482590582734
1997-04-01,-2.261262040180465
